id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kode_faskes;nama_puskesmas;jenis_kelamin;jumlah_bayi_diimunisasi;satuan;tahun
1;32;JAWA BARAT;3277;KOTA CIMAHI;3277010201;CIMAHI SELATAN;LAKI-LAKI;332;ORANG;2017
2;32;JAWA BARAT;3277;KOTA CIMAHI;3277010201;CIMAHI SELATAN;PEREMPUAN;315;ORANG;2017
3;32;JAWA BARAT;3277;KOTA CIMAHI;3277010202;MELONG ASIH;LAKI-LAKI;350;ORANG;2017
4;32;JAWA BARAT;3277;KOTA CIMAHI;3277010202;MELONG ASIH;PEREMPUAN;354;ORANG;2017
5;32;JAWA BARAT;3277;KOTA CIMAHI;3277010203;CIBEUREUM;LAKI-LAKI;606;ORANG;2017
6;32;JAWA BARAT;3277;KOTA CIMAHI;3277010203;CIBEUREUM;PEREMPUAN;598;ORANG;2017
7;32;JAWA BARAT;3277;KOTA CIMAHI;3277010204;CIBEBER;LAKI-LAKI;236;ORANG;2017
8;32;JAWA BARAT;3277;KOTA CIMAHI;3277010204;CIBEBER;PEREMPUAN;254;ORANG;2017
9;32;JAWA BARAT;3277;KOTA CIMAHI;3277010205;LEUWIGAJAH;LAKI-LAKI;423;ORANG;2017
10;32;JAWA BARAT;3277;KOTA CIMAHI;3277010205;LEUWIGAJAH;PEREMPUAN;449;ORANG;2017
11;32;JAWA BARAT;3277;KOTA CIMAHI;3277010206;MELONG TENGAH;LAKI-LAKI;257;ORANG;2017
12;32;JAWA BARAT;3277;KOTA CIMAHI;3277010206;MELONG TENGAH;PEREMPUAN;271;ORANG;2017
13;32;JAWA BARAT;3277;KOTA CIMAHI;3277020201;CIMAHI TENGAH;LAKI-LAKI;265;ORANG;2017
14;32;JAWA BARAT;3277;KOTA CIMAHI;3277020201;CIMAHI TENGAH;PEREMPUAN;288;ORANG;2017
15;32;JAWA BARAT;3277;KOTA CIMAHI;3277020202;CIGUGUR TENGAH;LAKI-LAKI;649;ORANG;2017
16;32;JAWA BARAT;3277;KOTA CIMAHI;3277020202;CIGUGUR TENGAH;PEREMPUAN;611;ORANG;2017
17;32;JAWA BARAT;3277;KOTA CIMAHI;3277020203;PADASUKA;LAKI-LAKI;590;ORANG;2017
18;32;JAWA BARAT;3277;KOTA CIMAHI;3277020203;PADASUKA;PEREMPUAN;591;ORANG;2017
19;32;JAWA BARAT;3277;KOTA CIMAHI;3277030201;CIMAHI UTARA;LAKI-LAKI;520;ORANG;2017
20;32;JAWA BARAT;3277;KOTA CIMAHI;3277030201;CIMAHI UTARA;PEREMPUAN;475;ORANG;2017
21;32;JAWA BARAT;3277;KOTA CIMAHI;3277030202;CIPAGERAN;LAKI-LAKI;417;ORANG;2017
22;32;JAWA BARAT;3277;KOTA CIMAHI;3277030202;CIPAGERAN;PEREMPUAN;456;ORANG;2017
23;32;JAWA BARAT;3277;KOTA CIMAHI;3277030203;PASIRKALIKI;LAKI-LAKI;183;ORANG;2017
24;32;JAWA BARAT;3277;KOTA CIMAHI;3277030203;PASIRKALIKI;PEREMPUAN;189;ORANG;2017
25;32;JAWA BARAT;3277;KOTA CIMAHI;3277030204;CITEUREUP;LAKI-LAKI;335;ORANG;2017
