nama_puskesmas,jenis_kelamin,tahun,jumlah_bayi,jumlah_bayi_diimunisasi,cakupan,gap
CIMAHI SELATAN,LAKI-LAKI,2017,361,332,91.96675900277008,29
CIMAHI SELATAN,PEREMPUAN,2017,348,315,90.51724137931035,33
LEUWIGAJAH,LAKI-LAKI,2017,444,423,95.27027027027027,21
LEUWIGAJAH,PEREMPUAN,2017,432,449,103.93518518518519,-17
CIBEBER,LAKI-LAKI,2017,269,236,87.73234200743495,33
CIBEBER,PEREMPUAN,2017,258,254,98.44961240310077,4
CIBEUREUM,LAKI-LAKI,2017,644,606,94.09937888198758,38
CIBEUREUM,PEREMPUAN,2017,618,598,96.76375404530745,20
MELONG ASIH,LAKI-LAKI,2017,382,350,91.62303664921467,32
MELONG ASIH,PEREMPUAN,2017,370,354,95.67567567567568,16
MELONG TENGAH,LAKI-LAKI,2017,288,257,89.23611111111111,31
MELONG TENGAH,PEREMPUAN,2017,279,271,97.1326164874552,8
CIMAHI TENGAH,LAKI-LAKI,2017,297,265,89.22558922558923,32
CIMAHI TENGAH,PEREMPUAN,2017,290,288,99.3103448275862,2
CIGUGUR TENGAH,LAKI-LAKI,2017,697,649,93.11334289813486,48
CIGUGUR TENGAH,PEREMPUAN,2017,671,611,91.0581222056632,60
PADASUKA,LAKI-LAKI,2017,620,590,95.16129032258065,30
PADASUKA,PEREMPUAN,2017,600,591,98.5,9
CIMAHI UTARA,LAKI-LAKI,2017,540,520,96.29629629629629,20
CIMAHI UTARA,PEREMPUAN,2017,524,475,90.64885496183206,49
PASIRKALIKI,LAKI-LAKI,2017,189,183,96.82539682539682,6
PASIRKALIKI,PEREMPUAN,2017,184,189,102.71739130434783,-5
CIPAGERAN,LAKI-LAKI,2017,474,417,87.9746835443038,57
CIPAGERAN,PEREMPUAN,2017,456,456,100.0,0
CITEUREUP,LAKI-LAKI,2017,373,335,89.81233243967829,38
CITEUREUP,PEREMPUAN,2017,366,330,90.1639344262295,36
CIMAHI SELATAN,LAKI-LAKI,2018,355,325,91.54929577464789,30
CIMAHI SELATAN,PEREMPUAN,2018,344,326,94.76744186046511,18
LEUWIGAJAH,LAKI-LAKI,2018,441,376,85.26077097505669,65
LEUWIGAJAH,PEREMPUAN,2018,427,399,93.44262295081968,28
CIBEBER,LAKI-LAKI,2018,270,237,87.77777777777777,33
CIBEBER,PEREMPUAN,2018,262,256,97.70992366412213,6
CIBEUREUM,LAKI-LAKI,2018,628,595,94.7452229299363,33
CIBEUREUM,PEREMPUAN,2018,608,579,95.23026315789474,29
MELONG ASIH,LAKI-LAKI,2018,371,335,90.29649595687331,36
MELONG ASIH,PEREMPUAN,2018,359,371,103.3426183844011,-12
MELONG TENGAH,LAKI-LAKI,2018,283,288,101.7667844522968,-5
MELONG TENGAH,PEREMPUAN,2018,274,231,84.30656934306569,43
CIMAHI TENGAH,LAKI-LAKI,2018,294,274,93.19727891156462,20
CIMAHI TENGAH,PEREMPUAN,2018,284,255,89.7887323943662,29
CIGUGUR TENGAH,LAKI-LAKI,2018,682,662,97.0674486803519,20
CIGUGUR TENGAH,PEREMPUAN,2018,660,575,87.12121212121212,85
PADASUKA,LAKI-LAKI,2018,615,565,91.869918699187,50
PADASUKA,PEREMPUAN,2018,595,580,97.47899159663865,15
CIMAHI UTARA,LAKI-LAKI,2018,535,462,86.35514018691589,73
CIMAHI UTARA,PEREMPUAN,2018,517,515,99.61315280464217,2
PASIRKALIKI,LAKI-LAKI,2018,186,169,90.86021505376344,17
PASIRKALIKI,PEREMPUAN,2018,180,184,102.22222222222221,-4
CIPAGERAN,LAKI-LAKI,2018,473,412,87.10359408033827,61
CIPAGERAN,PEREMPUAN,2018,458,455,99.34497816593887,3
CITEUREUP,LAKI-LAKI,2018,380,368,96.84210526315789,12
CITEUREUP,PEREMPUAN,2018,367,359,97.82016348773843,8
CIMAHI SELATAN,LAKI-LAKI,2019,344,344,100.0,0
CIMAHI SELATAN,PEREMPUAN,2019,334,321,96.10778443113772,13
LEUWIGAJAH,LAKI-LAKI,2019,609,355,58.29228243021346,254
LEUWIGAJAH,PEREMPUAN,2019,589,367,62.30899830220713,222
CIBEBER,LAKI-LAKI,2019,379,249,65.69920844327177,130
CIBEBER,PEREMPUAN,2019,367,258,70.29972752043598,109
CIBEUREUM,LAKI-LAKI,2019,277,632,228.15884476534296,-355
CIBEUREUM,PEREMPUAN,2019,268,540,201.49253731343282,-272
MELONG ASIH,LAKI-LAKI,2019,444,333,75.0,111
MELONG ASIH,PEREMPUAN,2019,430,348,80.93023255813954,82
MELONG TENGAH,LAKI-LAKI,2019,259,247,95.36679536679536,12
MELONG TENGAH,PEREMPUAN,2019,251,254,101.19521912350598,-3
CIMAHI TENGAH,LAKI-LAKI,2019,290,284,97.93103448275862,6
CIMAHI TENGAH,PEREMPUAN,2019,281,252,89.6797153024911,29
CIGUGUR TENGAH,LAKI-LAKI,2019,672,628,93.45238095238095,44
CIGUGUR TENGAH,PEREMPUAN,2019,650,586,90.15384615384615,64
PADASUKA,LAKI-LAKI,2019,622,562,90.35369774919614,60
PADASUKA,PEREMPUAN,2019,602,590,98.00664451827242,12
CIMAHI UTARA,LAKI-LAKI,2019,532,502,94.3609022556391,30
CIMAHI UTARA,PEREMPUAN,2019,515,491,95.33980582524272,24
PASIRKALIKI,LAKI-LAKI,2019,183,176,96.17486338797814,7
PASIRKALIKI,PEREMPUAN,2019,178,163,91.57303370786516,15
CIPAGERAN,LAKI-LAKI,2019,480,433,90.20833333333333,47
CIPAGERAN,PEREMPUAN,2019,465,446,95.91397849462365,19
CITEUREUP,LAKI-LAKI,2019,384,367,95.57291666666666,17
CITEUREUP,PEREMPUAN,2019,372,360,96.7741935483871,12
CIMAHI SELATAN,LAKI-LAKI,2020,335,334,99.70149253731343,1
CIMAHI SELATAN,PEREMPUAN,2020,322,304,94.40993788819875,18
LEUWIGAJAH,LAKI-LAKI,2020,278,283,101.79856115107914,-5
LEUWIGAJAH,PEREMPUAN,2020,268,265,98.88059701492537,3
CIBEBER,LAKI-LAKI,2020,443,223,50.338600451467265,220
CIBEBER,PEREMPUAN,2020,429,214,49.883449883449885,215
CIBEUREUM,LAKI-LAKI,2020,598,504,84.2809364548495,94
CIBEUREUM,PEREMPUAN,2020,575,455,79.13043478260869,120
MELONG ASIH,LAKI-LAKI,2020,357,303,84.87394957983193,54
MELONG ASIH,PEREMPUAN,2020,349,317,90.83094555873924,32
MELONG TENGAH,LAKI-LAKI,2020,270,239,88.51851851851852,31
MELONG TENGAH,PEREMPUAN,2020,263,239,90.8745247148289,24
CIMAHI TENGAH,LAKI-LAKI,2020,288,246,85.41666666666666,42
CIMAHI TENGAH,PEREMPUAN,2020,283,224,79.15194346289752,59
CIGUGUR TENGAH,LAKI-LAKI,2020,663,632,95.32428355957768,31
CIGUGUR TENGAH,PEREMPUAN,2020,639,593,92.80125195618153,46
PADASUKA,LAKI-LAKI,2020,621,578,93.07568438003221,43
PADASUKA,PEREMPUAN,2020,603,542,89.88391376451078,61
CIMAHI UTARA,LAKI-LAKI,2020,531,462,87.00564971751412,69
CIMAHI UTARA,PEREMPUAN,2020,513,444,86.54970760233918,69
PASIRKALIKI,LAKI-LAKI,2020,182,154,84.61538461538461,28
PASIRKALIKI,PEREMPUAN,2020,177,134,75.70621468926554,43
CIPAGERAN,LAKI-LAKI,2020,482,368,76.34854771784232,114
CIPAGERAN,PEREMPUAN,2020,465,399,85.80645161290322,66
CITEUREUP,LAKI-LAKI,2020,387,374,96.64082687338501,13
CITEUREUP,PEREMPUAN,2020,375,359,95.73333333333333,16
CIMAHI SELATAN,LAKI-LAKI,2021,326,342,104.9079754601227,-16
CIMAHI SELATAN,PEREMPUAN,2021,323,303,93.80804953560371,20
LEUWIGAJAH,LAKI-LAKI,2021,346,317,91.61849710982659,29
LEUWIGAJAH,PEREMPUAN,2021,315,305,96.82539682539682,10
CIBEBER,LAKI-LAKI,2021,283,250,88.33922261484098,33
CIBEBER,PEREMPUAN,2021,266,240,90.22556390977444,26
CIBEUREUM,LAKI-LAKI,2021,611,503,82.3240589198036,108
CIBEUREUM,PEREMPUAN,2021,566,456,80.56537102473497,110
MELONG ASIH,LAKI-LAKI,2021,326,333,102.1472392638037,-7
MELONG ASIH,PEREMPUAN,2021,335,306,91.34328358208955,29
MELONG TENGAH,LAKI-LAKI,2021,260,242,93.07692307692308,18
MELONG TENGAH,PEREMPUAN,2021,267,254,95.13108614232209,13
CIMAHI TENGAH,LAKI-LAKI,2021,287,248,86.41114982578398,39
CIMAHI TENGAH,PEREMPUAN,2021,234,216,92.3076923076923,18
CIGUGUR TENGAH,LAKI-LAKI,2021,551,584,105.98911070780399,-33
CIGUGUR TENGAH,PEREMPUAN,2021,531,518,97.5517890772128,13
PADASUKA,LAKI-LAKI,2021,605,525,86.77685950413223,80
PADASUKA,PEREMPUAN,2021,665,526,79.09774436090225,139
CIMAHI UTARA,LAKI-LAKI,2021,578,471,81.4878892733564,107
CIMAHI UTARA,PEREMPUAN,2021,548,481,87.77372262773723,67
PASIRKALIKI,LAKI-LAKI,2021,177,164,92.65536723163842,13
PASIRKALIKI,PEREMPUAN,2021,190,135,71.05263157894737,55
CIPAGERAN,LAKI-LAKI,2021,335,410,122.38805970149254,-75
CIPAGERAN,PEREMPUAN,2021,364,417,114.56043956043955,-53
CITEUREUP,LAKI-LAKI,2021,473,299,63.213530655391125,174
CITEUREUP,PEREMPUAN,2021,476,299,62.81512605042017,177
CIMAHI SELATAN,LAKI-LAKI,2022,336,283,84.22619047619048,53
CIMAHI SELATAN,PEREMPUAN,2022,333,313,93.993993993994,20
LEUWIGAJAH,LAKI-LAKI,2022,362,326,90.05524861878453,36
LEUWIGAJAH,PEREMPUAN,2022,358,322,89.94413407821229,36
CIBEBER,LAKI-LAKI,2022,267,237,88.76404494382022,30
CIBEBER,PEREMPUAN,2022,265,253,95.47169811320755,12
CIBEUREUM,LAKI-LAKI,2022,546,504,92.3076923076923,42
CIBEUREUM,PEREMPUAN,2022,541,464,85.76709796672827,77
MELONG ASIH,LAKI-LAKI,2022,357,331,92.71708683473389,26
MELONG ASIH,PEREMPUAN,2022,354,354,100.0,0
MELONG TENGAH,LAKI-LAKI,2022,272,284,104.41176470588236,-12
MELONG TENGAH,PEREMPUAN,2022,269,273,101.48698884758365,-4
CIMAHI TENGAH,LAKI-LAKI,2022,255,253,99.2156862745098,2
CIMAHI TENGAH,PEREMPUAN,2022,253,223,88.14229249011858,30
CIGUGUR TENGAH,LAKI-LAKI,2022,534,478,89.51310861423221,56
CIGUGUR TENGAH,PEREMPUAN,2022,529,466,88.09073724007561,63
PADASUKA,LAKI-LAKI,2022,584,527,90.23972602739725,57
PADASUKA,PEREMPUAN,2022,579,529,91.36442141623489,50
CIMAHI UTARA,LAKI-LAKI,2022,536,516,96.26865671641791,20
CIMAHI UTARA,PEREMPUAN,2022,530,497,93.77358490566039,33
PASIRKALIKI,LAKI-LAKI,2022,186,175,94.08602150537635,11
PASIRKALIKI,PEREMPUAN,2022,184,158,85.86956521739131,26
CIPAGERAN,LAKI-LAKI,2022,383,425,110.96605744125327,-42
