id;kode_provinsi;nama_provinsi;bps_kode_kabupaten_kota;bps_nama_kabupaten_kota;bps_kode_kecamatan;bps_nama_kecamatan;kemendagri_kode_kecamatan;kemendagri_nama_kecamatan;nama_puskesmas;jenis_kelamin;jumlah_bayi;satuan;tahun
1;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;CIMAHI SELATAN;LAKI-LAKI;361;ORANG;2017
2;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;CIMAHI SELATAN;PEREMPUAN;348;ORANG;2017
3;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;LEUWIGAJAH;LAKI-LAKI;444;ORANG;2017
4;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;LEUWIGAJAH;PEREMPUAN;432;ORANG;2017
5;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;CIBEBER;LAKI-LAKI;269;ORANG;2017
6;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;CIBEBER;PEREMPUAN;258;ORANG;2017
7;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;CIBEUREUM;LAKI-LAKI;644;ORANG;2017
8;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;CIBEUREUM;PEREMPUAN;618;ORANG;2017
9;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;MELONG ASIH;LAKI-LAKI;382;ORANG;2017
10;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;MELONG ASIH;PEREMPUAN;370;ORANG;2017
